"country","year","gdp_capita","population","urban_pop","life_exp","eco_freedom","employment_ratio","gov_edu_expend","gov_health_expend","literacy","poverty","child_mortality","hunger"
"ABW","1990",NA,62148,0.50319,73.38997561,NA,NA,NA,NA,NA,NA,NA,NA
"AFG","1990",NA,12067570,0.18316,49.86104878,NA,NA,NA,NA,NA,NA,0.181,NA
"AGO","1990",3106.554625,11127870,0.25582,41.13834146,NA,NA,NA,NA,NA,NA,0.226,NA
"ALB","1990",2748.622728,3286542,0.36428,71.95731707,NA,NA,NA,NA,NA,NA,0.0406,NA
"AND","1990",NA,54511,0.94712,NA,NA,NA,NA,NA,NA,NA,0.0085,NA
"ARB","1990",6503.322558,222117305,0.5043650503,64.4487757,NA,NA,NA,NA,0.5453756,NA,0.08000945465,NA
"ARE","1990",74017.30065,1811458,0.79051,71.72014634,NA,NA,NA,NA,NA,NA,0.0165,NA
"ARG","1990",NA,32729740,0.86984,71.54365854,NA,NA,NA,NA,NA,NA,0.0276,NA
"ARM","1990",2414.404926,3544695,0.67421,67.74780488,NA,NA,NA,NA,NA,NA,0.0498,NA
"ASM","1990",NA,47044,0.80948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG","1990",11087.01747,61906,0.35426,71.16295122,NA,NA,NA,NA,NA,NA,0.0255,NA
"AUS","1990",17362.37713,17065100,0.854,76.99463415,NA,NA,NA,NA,NA,NA,0.0092,NA
"AUT","1990",19490.93724,7677850,0.65765,75.56829268,NA,NA,NA,NA,NA,NA,0.0095,NA
"AZE","1990",5502.433989,7159000,0.53749,64.74636585,NA,NA,NA,NA,NA,NA,0.0947,NA
"BDI","1990",678.1205632,5613141,0.06271,48.00012195,NA,NA,NA,NA,0.3738472,NA,0.1718,NA
"BEL","1990",19052.87519,9967379,0.96377,76.05195122,NA,NA,NA,NA,NA,NA,0.01,NA
"BEN","1990",941.0716488,5001271,0.34485,53.42,NA,NA,NA,NA,NA,NA,0.1795,NA
"BFA","1990",530.7855756,8811033,0.13815,49.36560976,NA,NA,NA,NA,NA,NA,0.2022,NA
"BGD","1990",834.0482083,105983136,0.19811,58.41756098,NA,NA,NA,NA,NA,NA,0.1437,NA
"BGR","1990",5402.669571,8718289,0.66377,71.64146341,NA,NA,NA,NA,NA,NA,0.0221,NA
"BHR","1990",22879.14751,495944,0.8814,72.5072439,NA,NA,NA,NA,NA,NA,0.023,NA
"BHS","1990",15693.37862,256338,0.79838,70.63065854,NA,NA,NA,NA,NA,NA,0.0235,NA
"BIH","1990",NA,4526996,0.39249,70.78321951,NA,NA,NA,NA,NA,NA,0.0183,NA
"BLR","1990",5224.699919,10189000,0.65981,70.83658537,NA,NA,NA,NA,NA,NA,0.0166,NA
"BLZ","1990",3335.513701,187552,0.47465,71.28373171,NA,NA,NA,NA,NA,NA,0.0396,NA
"BMU","1990",26210.9109,59326,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL","1990",2396.114268,6856246,0.55577,55.10729268,NA,NA,NA,NA,NA,0.0135,0.1244,NA
"BRA","1990",6622.218841,150393143,0.73922,65.34031707,NA,NA,NA,NA,NA,0.0824,0.0608,NA
"BRB","1990",8593.944016,260374,0.3265,71.17195122,NA,NA,NA,NA,NA,NA,0.0179,NA
"BRN","1990",49815.04327,256939,0.65833,73.05119512,NA,NA,NA,NA,NA,NA,0.0122,NA
"BTN","1990",1507.862149,535505,0.16388,52.46231707,NA,NA,NA,NA,NA,NA,0.1337,NA
"BWA","1990",5234.821463,1379814,0.41933,62.55658537,NA,NA,NA,NA,NA,NA,0.0542,NA
"CAF","1990",609.533227,2937832,0.36825,49.01756098,NA,NA,NA,NA,NA,NA,0.1765,NA
"CAN","1990",20084.57361,27791000,0.76582,77.37707317,NA,NA,NA,NA,NA,NA,0.0083,NA
"CEB","1990",6906.378714,110745760,0.6152099448,70.65636732,NA,NA,NA,NA,0.9859694,NA,0.02169034386,NA
"CHE","1990",26734.01258,6715519,0.73184,77.24243902,NA,NA,NA,NA,NA,NA,0.0082,NA
"CHI","1990",NA,140669,0.31392,75.4182439,NA,NA,NA,NA,NA,NA,NA,NA
"CHL","1990",4407.204479,13141202,0.83271,72.67878049,NA,NA,NA,NA,NA,0.0271,0.0191,NA
"CHN","1990",979.9789832,1135185000,0.26442,69.0305122,NA,NA,NA,NA,0.7778506,0.2437,0.0538,NA
"CIV","1990",2081.512055,12165909,0.39345,52.60692683,NA,NA,NA,NA,NA,NA,0.1526,NA
"CMR","1990",1789.258373,12070359,0.39657,53.59126829,NA,NA,NA,NA,NA,NA,0.138,NA
"COD","1990",NA,34962676,0.30633,48.99297561,NA,NA,NA,NA,NA,NA,0.1865,NA
"COG","1990",3397.586071,2386467,0.54324,55.02897561,NA,NA,NA,NA,NA,NA,0.0936,NA
"COL","1990",4869.162131,34271563,0.68276,68.29719512,NA,NA,NA,NA,NA,NA,0.0351,NA
"COM","1990",989.8340593,415144,0.27869,56.65360976,NA,NA,NA,NA,NA,NA,0.1251,NA
"CPV","1990",1072.881207,341256,0.4412,65.5705122,NA,NA,NA,NA,0.6279686,NA,0.0627,NA
"CRI","1990",4712.559231,3095994,0.50002,75.65868293,NA,NA,NA,NA,NA,0.0529,0.0169,NA
"CSS","1990",5867.534126,5960368,0.3932782774,69.57310829,NA,NA,NA,NA,NA,NA,0.03589346995,NA
"CUB","1990",8851.151197,10582082,0.73364,74.64380488,NA,NA,NA,NA,NA,NA,0.0133,NA
"CUW","1990",NA,145400,0.84678,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYM","1990",NA,25009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP","1990",13189.512,766611,0.66776,76.51395122,NA,NA,NA,NA,NA,NA,0.0111,NA
