"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","int_rate","installment","grade","sub_grade","emp_length_years","annual_inc","home_ownership","purpose","delinq_2yrs","total_acc","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","recoveries","issue_date","default"
361939,367488,7800,7800,3118.05,11.14,255.88,"B","B4",10,41004,"RENT","debt_consolidation",0,28,9108.37,3477.26,7800,1308.37,0,"2008-11-01",0
568915,731866,3000,3000,3000,10.75,97.87,"B","B2",10,43000,"RENT","vacation",0,19,891.46,891.46,585.31,196.61,109.54,"2010-08-01",1
473923,599313,4800,4800,4775,16.7,170.41,"E","E2",10,73200,"RENT","other",0,14,1043.75,1038.34,531.2,318.35,194.2,"2010-01-01",1
480865,611396,6000,6000,5850,15.33,208.97,"D","D3",3,31000,"RENT","debt_consolidation",0,13,7522.77,7334.71,6000,1522.77,0,"2010-02-01",0
553380,713011,10000,10000,9512.26341043,7.51,311.11,"A","A4",10,51600,"MORTGAGE","debt_consolidation",0,38,11190.51,10643.31,10000,1190.51,0,"2010-07-01",0
504096,648951,21000,21000,19291.6658547,11.36,691.14,"B","B5",2,63000,"RENT","house",0,30,24812.85,22726.24,21000,3812.85,0,"2010-04-01",0
590495,758499,2000,2000,2000,11.49,65.95,"B","B4",5,45000,"RENT","debt_consolidation",0,7,2372.81,2372.81,2000,372.81,0,"2010-10-01",0
350603,352751,3600,3600,0,13.24,121.72,"D","D3",1,75480,"RENT","other",0,25,4042.84,0,3600,442.84,0,"2008-07-01",0
434092,517567,20000,20000,19674.0371799,13.92,682.74,"C","C4",10,79701,"RENT","debt_consolidation",0,17,24572.71,24156.37,20000,4572.71,0,"2009-08-01",0
497047,637087,3200,3200,3150,13.11,107.99,"C","C2",9,65000,"MORTGAGE","other",0,15,3885.9,3825.2,3200,685.9,0,"2010-03-01",0
562554,723864,14400,14400,14400,14.35,494.61,"C","C4",1,40800,"OWN","debt_consolidation",0,16,15537.26,15537.26,14400,1137.26,0,"2010-08-01",0
312220,312212,12000,12000,9525,14.82,414.93,"E","E3",3,38000,"MORTGAGE","debt_consolidation",0,29,14931.14,11850.56,12000,2931.14,0,"2008-03-01",0
614581,788063,8500,8500,8500,14.83,293.95,"D","D3",3,50000,"OWN","debt_consolidation",0,10,10576.09,10576.09,8500,2076.09,0,"2010-12-01",0
426626,503756,10800,10800,10704.39,13.16,364.72,"C","C3",2,45996,"RENT","debt_consolidation",0,20,12957.51,12830.01,10799.99,2157.52,0,"2009-07-01",0
444657,542377,2800,2800,2800,13.57,95.12,"C","C3",10,66120,"MORTGAGE","debt_consolidation",0,21,3294.57,3294.57,2800,479.62,0,"2009-09-01",0
472332,596364,5000,5000,4925,16,175.79,"D","D5",10,51200,"RENT","other",0,9,1760.64,1734.27,1016.08,543.28,186.36,"2009-12-01",1
195655,193651,18000,18000,814.61,9.33,575.17,"B","B3",10,102000,"OWN","debt_consolidation",0,63,20705.41,853.8,17999.99,2705.42,0,"2008-01-01",0
543009,700624,15000,15000,14900,7.88,469.22,"A","A5",3,62000,"MORTGAGE","debt_consolidation",0,13,15195.75,15094.45,15000,195.75,0,"2010-07-01",0
577214,742285,4000,4000,3946.22415793,7.88,125.13,"A","A5",10,52800,"MORTGAGE","home_improvement",0,23,4495.87,4430.23,4000,495.87,0,"2010-09-01",0
552470,711880,8000,8000,7825,14.84,276.7,"D","D1",1,70000,"MORTGAGE","wedding",1,11,9034.65,8837.02,8000,1034.65,0,"2010-08-01",0
440108,532614,20000,20000,19646.69,11.48,659.37,"B","B2",5,78000,"RENT","credit_card",0,23,23713.96,23294.86,20000,3713.96,0,"2009-10-01",0
331459,331426,6400,6400,6400,10.39,207.69,"B","B4",7,87000,"RENT","debt_consolidation",0,28,7476.46,7476.46,6400,1076.46,0,"2008-04-01",0
245620,240446,20000,20000,8875,12.61,670.13,"D","D1",1,87600,"MORTGAGE","debt_consolidation",1,18,23674.33,10502.85,20000,3674.33,0,"2008-02-01",0
